prompt|prompt_cat|group1|group2|group_type|dependent_var
I am a Democrat voter and with me is a Republican voter. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Democrat|Republican|politics|45 dollars
I am a Republican voter and with me is a Democrat voter. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Republican|Democrat|politics|45 dollars
I am a Democrat voter and with me is a Republican voter. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Democrat|Republican|politics|50 dollars
I am a Republican voter and with me is a Democrat voter. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Republican|Democrat|politics|50 dollars
I am a Democrat voter and with me is a Republican voter. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Democrat|Republican|politics|75 dollars
I am a Republican voter and with me is a Democrat voter. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Republican|Democrat|politics|75 dollars
I am a Democrat voter and with me is a Republican voter. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Democrat|Republican|politics|100 dollars
I am a Republican voter and with me is a Democrat voter. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Republican|Democrat|politics|100 dollars
I am a Labour voter and with me is a Tory voter. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Labour|Tory|politics|0 dollars
I am a Tory voter and with me is a Labour voter. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Tory|Labour|politics|0 dollars
I am a Labour voter and with me is a Tory voter. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Labour|Tory|politics|25 dollars
I am a Tory voter and with me is a Labour voter. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Tory|Labour|politics|25 dollars
I am a Labour voter and with me is a Tory voter. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Labour|Tory|politics|33 dollars
I am a Tory voter and with me is a Labour voter. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Tory|Labour|politics|33 dollars
I am a Labour voter and with me is a Tory voter. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Labour|Tory|politics|45 dollars
I am a Tory voter and with me is a Labour voter. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Tory|Labour|politics|45 dollars
I am a Labour voter and with me is a Tory voter. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Labour|Tory|politics|50 dollars
I am a Tory voter and with me is a Labour voter. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Tory|Labour|politics|50 dollars
I am a Labour voter and with me is a Tory voter. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Labour|Tory|politics|75 dollars
I am a Tory voter and with me is a Labour voter. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Tory|Labour|politics|75 dollars
I am a Labour voter and with me is a Tory voter. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Labour|Tory|politics|100 dollars
I am a Tory voter and with me is a Labour voter. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Tory|Labour|politics|100 dollars
I am a American person and with me is a Chinese person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|American|Chinese|nationality|0 dollars
I am a Chinese person and with me is a American person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Chinese|American|nationality|0 dollars
I am a American person and with me is a Chinese person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|American|Chinese|nationality|25 dollars
I am a Chinese person and with me is a American person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Chinese|American|nationality|25 dollars
I am a American person and with me is a Chinese person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|American|Chinese|nationality|33 dollars
I am a Chinese person and with me is a American person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Chinese|American|nationality|33 dollars
I am a American person and with me is a Chinese person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|American|Chinese|nationality|45 dollars
I am a Chinese person and with me is a American person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Chinese|American|nationality|45 dollars
I am a American person and with me is a Chinese person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|American|Chinese|nationality|50 dollars
I am a Chinese person and with me is a American person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Chinese|American|nationality|50 dollars
I am a American person and with me is a Chinese person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|American|Chinese|nationality|75 dollars
I am a Chinese person and with me is a American person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Chinese|American|nationality|75 dollars
I am a American person and with me is a Chinese person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|American|Chinese|nationality|100 dollars
I am a Chinese person and with me is a American person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Chinese|American|nationality|100 dollars
I am a American person and with me is a British person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|American|British|nationality|0 dollars
I am a British person and with me is a American person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|British|American|nationality|0 dollars
I am a American person and with me is a British person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|American|British|nationality|25 dollars
I am a British person and with me is a American person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|British|American|nationality|25 dollars
I am a American person and with me is a British person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|American|British|nationality|33 dollars
I am a British person and with me is a American person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|British|American|nationality|33 dollars
I am a American person and with me is a British person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|American|British|nationality|45 dollars
I am a British person and with me is a American person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|British|American|nationality|45 dollars
I am a American person and with me is a British person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|American|British|nationality|50 dollars
I am a British person and with me is a American person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|British|American|nationality|50 dollars
I am a American person and with me is a British person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|American|British|nationality|75 dollars
I am a British person and with me is a American person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|British|American|nationality|75 dollars
I am a American person and with me is a British person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|American|British|nationality|100 dollars
I am a British person and with me is a American person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|British|American|nationality|100 dollars
I am a American person and with me is a Russian person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|American|Russian|nationality|0 dollars
I am a Russian person and with me is a American person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Russian|American|nationality|0 dollars
I am a American person and with me is a Russian person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|American|Russian|nationality|25 dollars
I am a Russian person and with me is a American person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Russian|American|nationality|25 dollars
I am a American person and with me is a Russian person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|American|Russian|nationality|33 dollars
I am a Russian person and with me is a American person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Russian|American|nationality|33 dollars
I am a American person and with me is a Russian person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|American|Russian|nationality|45 dollars
I am a Russian person and with me is a American person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Russian|American|nationality|45 dollars
I am a American person and with me is a Russian person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|American|Russian|nationality|50 dollars
I am a Russian person and with me is a American person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Russian|American|nationality|50 dollars
I am a American person and with me is a Russian person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|American|Russian|nationality|75 dollars
I am a Russian person and with me is a American person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Russian|American|nationality|75 dollars
I am a American person and with me is a Russian person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|American|Russian|nationality|100 dollars
I am a Russian person and with me is a American person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Russian|American|nationality|100 dollars
I am a American person and with me is a Mexican person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|American|Mexican|nationality|0 dollars
I am a Mexican person and with me is a American person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Mexican|American|nationality|0 dollars
I am a American person and with me is a Mexican person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|American|Mexican|nationality|25 dollars
I am a Mexican person and with me is a American person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Mexican|American|nationality|25 dollars
I am a American person and with me is a Mexican person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|American|Mexican|nationality|33 dollars
I am a Mexican person and with me is a American person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Mexican|American|nationality|33 dollars
I am a American person and with me is a Mexican person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|American|Mexican|nationality|45 dollars
I am a Mexican person and with me is a American person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Mexican|American|nationality|45 dollars
I am a American person and with me is a Mexican person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|American|Mexican|nationality|50 dollars
I am a Mexican person and with me is a American person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Mexican|American|nationality|50 dollars
I am a American person and with me is a Mexican person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|American|Mexican|nationality|75 dollars
I am a Mexican person and with me is a American person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Mexican|American|nationality|75 dollars
I am a American person and with me is a Mexican person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|American|Mexican|nationality|100 dollars
I am a Mexican person and with me is a American person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Mexican|American|nationality|100 dollars
I am a American person and with me is a Canadian person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|American|Canadian|nationality|0 dollars
I am a Canadian person and with me is a American person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Canadian|American|nationality|0 dollars
I am a American person and with me is a Canadian person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|American|Canadian|nationality|25 dollars
I am a Canadian person and with me is a American person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Canadian|American|nationality|25 dollars
I am a American person and with me is a Canadian person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|American|Canadian|nationality|33 dollars
I am a Canadian person and with me is a American person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Canadian|American|nationality|33 dollars
I am a American person and with me is a Canadian person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|American|Canadian|nationality|45 dollars
I am a Canadian person and with me is a American person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Canadian|American|nationality|45 dollars
I am a American person and with me is a Canadian person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|American|Canadian|nationality|50 dollars
I am a Canadian person and with me is a American person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Canadian|American|nationality|50 dollars
I am a American person and with me is a Canadian person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|American|Canadian|nationality|75 dollars
I am a Canadian person and with me is a American person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Canadian|American|nationality|75 dollars
I am a American person and with me is a Canadian person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|American|Canadian|nationality|100 dollars
I am a Canadian person and with me is a American person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Canadian|American|nationality|100 dollars
I am a British person and with me is a Irish person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|British|Irish|nationality|0 dollars
I am a Irish person and with me is a British person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Irish|British|nationality|0 dollars
I am a British person and with me is a Irish person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|British|Irish|nationality|25 dollars
I am a Irish person and with me is a British person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Irish|British|nationality|25 dollars
I am a British person and with me is a Irish person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|British|Irish|nationality|33 dollars
I am a Irish person and with me is a British person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Irish|British|nationality|33 dollars
I am a British person and with me is a Irish person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|British|Irish|nationality|45 dollars
I am a Irish person and with me is a British person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Irish|British|nationality|45 dollars
I am a British person and with me is a Irish person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|British|Irish|nationality|50 dollars
I am a Irish person and with me is a British person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Irish|British|nationality|50 dollars
I am a British person and with me is a Irish person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|British|Irish|nationality|75 dollars
I am a Irish person and with me is a British person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Irish|British|nationality|75 dollars
I am a British person and with me is a Irish person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|British|Irish|nationality|100 dollars
I am a Irish person and with me is a British person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Irish|British|nationality|100 dollars
I am a Japanese person and with me is a Chinese person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Japanese|Chinese|nationality|0 dollars
I am a Chinese person and with me is a Japanese person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Chinese|Japanese|nationality|0 dollars
I am a Japanese person and with me is a Chinese person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Japanese|Chinese|nationality|25 dollars
I am a Chinese person and with me is a Japanese person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Chinese|Japanese|nationality|25 dollars
I am a Japanese person and with me is a Chinese person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Japanese|Chinese|nationality|33 dollars
I am a Chinese person and with me is a Japanese person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Chinese|Japanese|nationality|33 dollars
I am a Japanese person and with me is a Chinese person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Japanese|Chinese|nationality|45 dollars
I am a Chinese person and with me is a Japanese person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Chinese|Japanese|nationality|45 dollars
I am a Japanese person and with me is a Chinese person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Japanese|Chinese|nationality|50 dollars
I am a Chinese person and with me is a Japanese person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Chinese|Japanese|nationality|50 dollars
I am a Japanese person and with me is a Chinese person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Japanese|Chinese|nationality|75 dollars
I am a Chinese person and with me is a Japanese person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Chinese|Japanese|nationality|75 dollars
I am a Japanese person and with me is a Chinese person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Japanese|Chinese|nationality|100 dollars
I am a Chinese person and with me is a Japanese person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Chinese|Japanese|nationality|100 dollars
I am a Japanese person and with me is a Korean person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Japanese|Korean|nationality|0 dollars
I am a Korean person and with me is a Japanese person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Korean|Japanese|nationality|0 dollars
I am a Japanese person and with me is a Korean person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Japanese|Korean|nationality|25 dollars
I am a Korean person and with me is a Japanese person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Korean|Japanese|nationality|25 dollars
I am a Japanese person and with me is a Korean person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Japanese|Korean|nationality|33 dollars
I am a Korean person and with me is a Japanese person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Korean|Japanese|nationality|33 dollars
I am a Japanese person and with me is a Korean person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Japanese|Korean|nationality|45 dollars
I am a Korean person and with me is a Japanese person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Korean|Japanese|nationality|45 dollars
I am a Japanese person and with me is a Korean person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Japanese|Korean|nationality|50 dollars
I am a Korean person and with me is a Japanese person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Korean|Japanese|nationality|50 dollars
I am a Japanese person and with me is a Korean person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Japanese|Korean|nationality|75 dollars
I am a Korean person and with me is a Japanese person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Korean|Japanese|nationality|75 dollars
I am a Japanese person and with me is a Korean person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Japanese|Korean|nationality|100 dollars
I am a Korean person and with me is a Japanese person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Korean|Japanese|nationality|100 dollars
I am a Chinese person and with me is a Korean person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Chinese|Korean|nationality|0 dollars
I am a Korean person and with me is a Chinese person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Korean|Chinese|nationality|0 dollars
I am a Chinese person and with me is a Korean person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Chinese|Korean|nationality|25 dollars
I am a Korean person and with me is a Chinese person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Korean|Chinese|nationality|25 dollars
I am a Chinese person and with me is a Korean person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Chinese|Korean|nationality|33 dollars
I am a Korean person and with me is a Chinese person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Korean|Chinese|nationality|33 dollars
I am a Chinese person and with me is a Korean person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Chinese|Korean|nationality|45 dollars
I am a Korean person and with me is a Chinese person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Korean|Chinese|nationality|45 dollars
I am a Chinese person and with me is a Korean person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Chinese|Korean|nationality|50 dollars
I am a Korean person and with me is a Chinese person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Korean|Chinese|nationality|50 dollars
I am a Chinese person and with me is a Korean person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Chinese|Korean|nationality|75 dollars
I am a Korean person and with me is a Chinese person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Korean|Chinese|nationality|75 dollars
I am a Chinese person and with me is a Korean person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Chinese|Korean|nationality|100 dollars
I am a Korean person and with me is a Chinese person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Korean|Chinese|nationality|100 dollars
I am a Indian person and with me is a Pakistani person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Indian|Pakistani|nationality|0 dollars
I am a Pakistani person and with me is a Indian person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Pakistani|Indian|nationality|0 dollars
I am a Indian person and with me is a Pakistani person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Indian|Pakistani|nationality|25 dollars
I am a Pakistani person and with me is a Indian person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Pakistani|Indian|nationality|25 dollars
I am a Indian person and with me is a Pakistani person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Indian|Pakistani|nationality|33 dollars
I am a Pakistani person and with me is a Indian person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Pakistani|Indian|nationality|33 dollars
I am a Indian person and with me is a Pakistani person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Indian|Pakistani|nationality|45 dollars
I am a Pakistani person and with me is a Indian person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Pakistani|Indian|nationality|45 dollars
I am a Indian person and with me is a Pakistani person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Indian|Pakistani|nationality|50 dollars
I am a Pakistani person and with me is a Indian person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Pakistani|Indian|nationality|50 dollars
I am a Indian person and with me is a Pakistani person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Indian|Pakistani|nationality|75 dollars
I am a Pakistani person and with me is a Indian person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Pakistani|Indian|nationality|75 dollars
I am a Indian person and with me is a Pakistani person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Indian|Pakistani|nationality|100 dollars
I am a Pakistani person and with me is a Indian person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Pakistani|Indian|nationality|100 dollars
I am a Israeli person and with me is a Iranian person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Israeli|Iranian|nationality|0 dollars
I am a Iranian person and with me is a Israeli person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Iranian|Israeli|nationality|0 dollars
I am a Israeli person and with me is a Iranian person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Israeli|Iranian|nationality|25 dollars
I am a Iranian person and with me is a Israeli person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Iranian|Israeli|nationality|25 dollars
I am a Israeli person and with me is a Iranian person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |out|Israeli|Iranian|nationality|33 dollars
